Key,en,es,ar
Completed Remittance,Completed Remittance,Remesas completadas,التحويلات المكتملة
Ongoing Remittance,Ongoing Remittance,Remesas continuas,التحويلات المستمرة
Canceled Remittance,Canceled Remittance,Remesas canceladas,التحويلات الملغاة
Total Transactions Chart,Total Transactions Chart,Gráfico de transacciones totales,إجمالي المعاملات الرسم البياني
Send Remittance Log,Send Remittance Log,Enviar registro de remesas,إرسال سجل تحويلات
MTCN Number,MTCN Number,Número de mtcn,رقم MTCN
Transaction Type,Transaction Type,tipo de transacción,نوع المعاملة
Method Name,Method Name,Nombre del método,اسم الطريقة
Account Number,Account Number,Número de cuenta,رقم حساب
Sender Amount,Sender Amount,Monto del remitente,مبلغ المرسل
Sending Purpose,Sending Purpose,Propósito de envío,إرسال الغرض
Source Of Fund,Source Of Fund,Origen de fondos,مصدر التمويل
Payment Method,Payment Method,Método de pago,طريقة الدفع او السداد
Payment Method Exchange Rate,Payment Method Exchange Rate,Tipo de cambio del método de pago,سعر الصرف طريقة الدفع
Payable Amount,Payable Amount,Cantidad a pagar,مبلغ مستحق الدفع
Download Receipt,Download Receipt,Descargar recibo,تنزيل إيصال
Copy Link,Copy Link,Copiar link,نسخ الوصلة
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Delete Profile,Delete Profile,Borrar perfil,حذف الملف الشخصي
Country,Country,País,دولة
Phone,Phone,Teléfono,هاتف
City,City,Ciudad,مدينة
State,State,Estado,ولاية
Zip Code,Zip Code,Código postal,الرمز البريدي
Update,Update,Actualizar,تحديث
Enter State,Enter State,Ingrese el estado,إدخال الدولة
Enter City,Enter City,Entrar en la ciudad,أدخل المدينة
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
Enter Zip,Enter Zip,Ingrese zip,أدخل الرمز البريدي
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
Are you sure to delete your account?,Are you sure to delete your account?,¿Seguro que eliminará su cuenta?,هل أنت متأكد من حذف حسابك؟
If you do not think you will use,If you do not think you will use,Si no crees que usarás,إذا كنت لا تعتقد أنك ستستخدم
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Confirm”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Confirm”.?","De nuevo y me gusta su cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta o recuperar ninguno de los contenidos o información que haya agregado. Si aún desea que su cuenta se elimine, haga clic en ""Confirmar"".","مرة أخرى ومثل حسابك المحذوفة. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال تحب حذف حسابك ، فانقر فوق ""تأكيد"".؟"
Close,Close,Cerca,يغلق
Your account deleted successfully!,Your account deleted successfully!,¡Su cuenta se eliminó con éxito!,تم حذف حسابك بنجاح!
View More,View More,Ver más,عرض المزيد
Change,Change,Cambiar,يتغير
Password successfully updated!,Password successfully updated!,Contraseña actualizada correctamente!,تم تحديث كلمة المرور بنجاح!
Current password didn\ t match,Current password didn\ t match,La contraseña actual no coincidía,كلمة المرور الحالية لم تطابق
Profile successfully updated!,Profile successfully updated!,Perfil actualizado con éxito!,تم تحديث الملف الشخصي بنجاح!
Summary,Summary,Resumen,ملخص
Sending Amount,Sending Amount,Monto de envío,إرسال المبلغ
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والرسوم
Will Get Amount,Will Get Amount,Obtendrá la cantidad,سوف تحصل على المبلغ
Amount We Will Convert,Amount We Will Convert,Cantidad que convertiremos,المبلغ الذي سنقوم بتحويله
Add New Recipient,Add New Recipient,Agregar nuevo destinatario,أضف مستلمًا جديدًا
City & State,City & State,Estado de la Ciudad,المدينة والدولة
Next,Next,Próximo,التالي
select,select,seleccionar,يختار
No Recipient Found!,No Recipient Found!,¡No se encontró ningún destinatario!,لم يتم العثور على مستلم!
Middle Name,Middle Name,Segundo nombre,الاسم الأوسط
Enter Middle Name,Enter Middle Name,Ingrese el segundo nombre,أدخل الاسم الأوسط
Enter Phone,Enter Phone,Ingrese el teléfono,أدخل الهاتف
Bank Name,Bank Name,Nombre del banco,اسم البنك
IBAN Number,IBAN Number,Número IBAN,رقم IBAN
Mobile Method,Mobile Method,Método móvil,طريقة الهاتف المحمول
Select Method,Select Method,Método de selección,حدد الطريقة
Select Bank,Select Bank,Seleccionar banco,حدد بنك
Select IBAN Number,Select IBAN Number,Seleccione el número Iban,حدد رقم IBAN
Write Here,Write Here,Escribe aquí,اكتب هنا
Document type,Document type,Tipo de Documento,نوع الوثيقة
Front Part,Front Part,Parte delantera,الجزء الامامي
Back Part,Back Part,Parte de atrás,الجزء الخلفي
Select Document Type,Select Document Type,Seleccionar tipo de documento,حدد نوع المستند
Add Recipient,Add Recipient,Agregar destinatario,إضافة المستلم
Please select a recipient,Please select a recipient,Seleccione un destinatario,الرجاء تحديد مستلم
Select Purpose,Select Purpose,Seleccionar propósito,حدد الغرض
Select Source,Select Source,Seleccionar fuente,اختر مصدر
Remarks,Remarks,Observaciones,ملاحظات
Optional,Optional,Opcional,خياري
Payment Gateway,Payment Gateway,Pasarela,بوابة الدفع
Select Gateway,Select Gateway,Seleccionar puerta de enlace,حدد بوابة
Payment Preview,Payment Preview,Vista previa del pago,معاينة الدفع
Remittance Summary,Remittance Summary,Resumen de remesas,ملخص التحويلات
Receipt Summary,Receipt Summary,Resumen de recibos,ملخص الاستلام
Recipient Name,Recipient Name,Nombre del Recipiente,اسم المستلم
Recipient Email,Recipient Email,Receptor de E-mail,البريد الإلكتروني المستلم
Confirm Payment,Confirm Payment,Confirmar pago,تأكيد الدفع
Transactions Log,Transactions Log,Registro de transacciones,سجل المعاملات
No Transaction Found!,No Transaction Found!,¡No se encontró transacción!,لم يتم العثور على معاملة!
Ex: Transactions,Ex: Transactions,Ej: Transacciones,على سبيل المثال: المعاملات
Enter IBAN Number,Enter IBAN Number,Ingrese el número Iban,أدخل رقم IBAN
Recipient Payment,Recipient Payment,Pago del destinatario,دفع المتلقي
Payment Summary,Payment Summary,Resumen de pago,ملخص الدفع
Your Payment Is Successfully Completed,Your Payment Is Successfully Completed,Su pago se completa con éxito,تم إكمال دفعتك بنجاح
Payment Confirmation,Payment Confirmation,Confirmación de pago,تأكيد الدفعة
Download Receipt PDF,Download Receipt PDF,Descargar recibo PDF,تنزيل استلام PDF
Go To Dashboard,Go To Dashboard,Ir al panel de control,الذهاب إلى لوحة القيادة
Send Another Remittance,Send Another Remittance,Enviar otra remesa,إرسال تحويلات أخرى
Bank Transfer,Bank Transfer,Transferencia bancaria,التحويل المصرفي
Pending,Pending,Pendiente,قيد الانتظار
Review Payment,Review Payment,Pago de revisión,مراجعة الدفع
On Hold,On Hold,En espera,في الانتظار
Settled,Settled,Establecido,تسوية
Completed,Completed,Terminado,مكتمل
Canceled,Canceled,Cancelado,ألغيت
Failed,Failed,Fallido,فشل
Refunded,Refunded,Reintegrado,رد
Delayed,Delayed,Demorado,تأخير
Mobile Money,Mobile Money,Dinero móvil,أموال الهاتف المحمول
Successfully Send Remittance,Successfully Send Remittance,Envía con éxito remesas,إرسال التحويلات بنجاح
Recipient Created Successfully.,Recipient Created Successfully.,Destinatario creado con éxito.,تم إنشاء المستلم بنجاح.
Create Recipient,Create Recipient,Crear destinatario,إنشاء المستلم
Edit Recipient,Edit Recipient,Editar destinatario,تحرير المستلم
Enter Zip Code,Enter Zip Code,Ingresa tu código postal,أدخل الرمز البريدي
Recipient Updated Successfully.,Recipient Updated Successfully.,Destinatario actualizado con éxito.,تم تحديث المستلم بنجاح.
Recipient Deleted Successfully.,Recipient Deleted Successfully.,Destinatario eliminado con éxito.,تم حذف المستلم بنجاح.
Notifications,Notifications,Notificaciones,إشعارات
Notification Not Found!,Notification Not Found!,¡Notificación no encontrada!,الإخطار لم يتم العثور عليه!
Get Support,Get Support,Obtener apoyo,احصل على الدعم
KYC Verification,KYC Verification,Verificación de KYC,التحقق من KYC
Proof Of Identity,Proof Of Identity,Prueba de identidad,إثبات الهوية
KYC Information,KYC Information,Información de KYC,معلومات KYC
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información de KYC con datos válidos.,يرجى إرسال معلومات KYC الخاصة بك مع بيانات صالحة.
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,"Se envía su información de KYC. Espere la confirmación del administrador. Cuando esté verificado KYC, mostrará su información enviada aquí.",معلومات KYC الخاصة بك هي وضعت. يرجى انتظار تأكيد المسؤول. عندما يتم التحقق من KYC ، ستعرض معلوماتك المأهولة هنا.
Your KYC information is verified,Your KYC information is verified,Su información de KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Your KYC information is rejected.,Your KYC information is rejected.,Su información de KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Back to,Back to,De regreso,ارجع الى
Front,Front,Frente,أمام
Back,Back,Atrás,خلف
ID Type,ID Type,tipo de identificación,نوع الهوية
KYC information successfully submitted,KYC information successfully submitted,La información de KYC presentó con éxito,تم تقديم معلومات KYC بنجاح
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,اثنان عامل المصادقة
QRcode Share,QRcode Share,QRCode compartido,QRCode Share
Disable,Disable,Desactivar,إبطال
Don t forget to add this application in your google authentication app. Otherwise you can t login in your account.,Don t forget to add this application in your google authentication app. Otherwise you can t login in your account.,"No olvide agregar esta aplicación en su aplicación de autenticación de Google. De lo contrario, puede iniciar sesión en su cuenta.",لا ننسى إضافة هذا التطبيق في تطبيق مصادقة Google الخاص بك. وإلا يمكنك تسجيل الدخول في حسابك.
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,مصادقة Google
Download Google Authenticator App,Download Google Authenticator App,Descargar la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications.,Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications.,Google Authenticator es un autenticador basado en productos de Google que ejecuta administraciones de confirmación de dos ventas para verificar a los clientes de cualquier aplicación de programación.,Google Authenticator هو مصادقة قائمة على المنتج من قبل Google والتي تنفذ إدارات تأكيد ثنائية المشاريع للتحقق من العملاء من أي تطبيقات برمجة.
Download App,Download App,Descargar aplicación,تحميل التطبيق
Languages,Languages,Lenguas,اللغات
Language,Language,Idioma,لغة
Information,Information,Información,معلومة
Language Information,Language Information,Información del idioma,معلومات اللغة
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!,اللغة التي تم إنشاؤها بنجاح!
Super Admin,Super Admin,Super administrador,المشرف سوبر
DEFAULT,Default,Por defecto,تقصير
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة
TRANSACTIONS & LOGS,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Add Money Logs,Add Money Logs,Agregar registros de dinero,أضف سجلات الأموال
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة
All Logs,All Logs,Todos los registros,جميع السجلات
Money Out Logs,Money Out Logs,Money Out Registros,سجلات الأموال
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email unverified,Email unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق
KYC Unverified,KYC Unverified,KYC no verificado,KYC غير التحقق
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون
Agent Care,Agent Care,Cuidado de agentes,رعاية الوكيل
Active Agents,Active Agents,Agentes activos,الوكلاء النشطين
All Agents,All Agents,Todos los agentes,جميع الوكلاء
Email To Agents,Email To Agents,Correo electrónico a los agentes,البريد الإلكتروني إلى الوكلاء
Banned Agents,Banned Agents,Agentes prohibidos,وكلاء محظور
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المسؤول
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول
Settings,Settings,Ajustes,إعدادات
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
Image Assets,Image Assets,Activos de imagen,أصول الصورة
Setup SEO,Setup SEO ( Search Engine Optimization ),Configurar SEO (optimización de motores de búsqueda),إعداد SEO (تحسين محرك البحث)
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة
App URLs,App URLs,URL de aplicaciones,APP urls
VERIFICATION CENTER,Verification Center,Centro de verificación,مركز التحقق
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
SETUP WEB CONTENT,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Banner Section,Banner Section,Banner,قسم لافتة
Brand Section,Brand Section,Sección de la marca,قسم العلامة التجارية
About Section,About Section,Acerca de la sección,حول القسم
How Its Work Section,How Its Work Section,Cómo su sección de trabajo,كيف قسم عملها
Feature Section,Feature Section,Sección de características,ميزة قسم
Choose Us Section,Choose Us Section,Elija la sección de EE. UU.,اختر القسم لنا
Journal Section,Journal Section,Sección de diario,قسم المجلة
App Download Section,App Download Section,Sección de descarga de la aplicación,قسم تنزيل التطبيق
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Footer Section,Footer Section,Sección de fútbol,قسم تذييل
Subscribe Section,Subscribe Section,SUSCRIBIR SECCIÓN,قسم الاشتراك
Testimonials Section,Testimonials Section,Sección de testimonios,قسم الشهادات
Setup Pages,Setup Pages,Configuración de páginas,صفحات الإعداد
Extensions,Extensions,Extensiones,الامتدادات
PAYMENT METHODS,Payment Methods,Métodos de pago,طرق الدفع
Add Money,Add Money,Agregar dinero,إضافة المال
Automatic,Automatic,Automático,تلقائي
Manual,Manual,Manual,يدوي
Money Out,Money Out,Apagarse,لم يبقى اي من المال
NOTIFICATION-UPPER,Notification,Notificación,إشعار
Push Notification,Push Notification,Notificación de inserción,إشعار دفع
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال إشعار
BONUS,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Galleta GDPR,ملف تعريف الارتباط الناتج المحلي الإجمالي
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Layout mode,Layout mode,Modo de diseño,وضع التصميم
Topbar Color,Topbar Color,Color topbar,لون الشريط
Sidebar color,Sidebar color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Min Color de la barra lateral,لون الشريط الجانبي
RTL Support,RTL Support,Soporte RTL,دعم RTL
Active Merchants,Active Merchants,Comerciantes activos,التجار النشطين
Sms Unverified,Sms Unverified,SMS no verificado,الرسائل القصيرة غير التحقق
Recipient Countries,Recipient Countries,Países receptores,البلدان المتلقية
Categories,Categories,Categorías,فئات
Remittance Bank,Remittance Bank,Banco de remesas,بنك التحويلات
Remittance Settings,Remittance Settings,Configuración de remesas,إعدادات التحويلات
Remittance,Remittance,Remesa,التحويلات
Review Payment Logs,Review Payment Logs,Revise los registros de pago,مراجعة سجلات الدفع
Confirm Payment Logs,Confirm Payment Logs,Confirmar registros de pago,تأكيد سجلات الدفع
On Hold Logs,On Hold Logs,En espera registros,على سجلات التعليق
Settled Logs,Settled Logs,Registros establecidos,سجلات تسوية
Complete Logs,Complete Logs,Registros completos,سجلات كاملة
Failed Logs,Failed Logs,Registros fallidos,سجلات فاشلة
Refunded Logs,Refunded Logs,Registros reembolsados,سجلات استرداد
Delayed Logs,Delayed Logs,Registros retrasados,سجلات تأخر
Statements,Statements,Declaraciones,صياغات
Review Payment Remittance,Review Payment Remittance,Revisar la remesa de pago,مراجعة تحويلات الدفع
Pending Remittance,Pending Remittance,Remesas pendientes,التحويلات المعلقة
Complete Remittance,Complete Remittance,Remesas completas,تحويلات كاملة
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Active,Active,Activo,نشيط
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه
Total Remittance Bank,Total Remittance Bank,Banco de remesas totales,إجمالي بنك التحويلات
Total Mobile Method,Total Mobile Method,Método móvil total,إجمالي طريقة الهاتف المحمول
Total Support Ticket,Total Support Ticket,Boleto de soporte total,إجمالي تذكرة الدعم
User Analytics Chart,User Analytics Chart,Gráfico de análisis de usuarios,مخطط تحليلات المستخدم
View User,View User,Ver usuario,عرض المستخدم
MTCN ID,MTCN ID,ID de MTCN,معرف MTCN
S. NAME,S. NAME,NOMBRE DE,S. الاسم
R.NAME,R.NAME,R.Name,R.Name
T.TYPE,T.TYPE,T.Type,T.Type
AMOUNT,AMOUNT,CANTIDAD,كمية
P. METHOD,P. METHOD,P. método,طريقة P.
STATUS,STATUS,ESTADO,حالة
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني
Add New,Add New,Agregar nuevo,اضف جديد
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر
User,User,Usuario,مستخدم
Last Reply,Last Reply,Última respuesta,الرد الأخير
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة
Attachments,Attachments,Archivos adjuntos,المرفقات
Conversation,Conversation,Conversación,محادثة
"This ticket is solved, you can t send message right now","This ticket is solved, you can t send message right now","Este boleto está resuelto, no puede enviar un mensaje ahora mismo",تم حل هذه التذكرة ، لا يمكنك إرسال رسالة الآن
Write something,Write something,Escribe algo,أكتب شيئا
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Description,Description,Descripción,وصف
please Fill Out The Field,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل
upload,Upload,Subir,رفع
bank,Bank,Banco,بنك
front Part,Front Part,Parte delantera,الجزء الامامي
recipient Summary,Recipient Summary,Resumen del receptor,ملخص المستلم
verify,Verify,Verificar,يؤكد
upload Image,Upload Image,Cargar imagen,تحميل الصور
evidence Note,Evidence Note,Nota de evidencia,ملاحظة الأدلة
congratulations,Congratulations,Felicidades,تهانينا
account Successfully Create,your account has been successfully created.,Su cuenta ha sido creada satisfactoriamente.,تم إنشاء حسابك بنجاح.
flutterwave Payment,Flutterwave Payment,Pago de FlutterWave,مدفوعات الرفرفة
stripe Payment,Stripe Payment,Pago de rayas,دفع الشريط
paypal Payment,Paypal Payment,Pago PayPal,الدفع باي بال
no Notification,No notification found,No se encontró notificación,لم يتم العثور على إشعار
no Transaction,No transaction found,No se encontró transacción,لم يتم العثور على معاملة
sign In With Touch Id,Sign In With Touch Id,Iniciar sesión con Touch ID,تسجيل الدخول مع معرف اللمس
please Agree,Please agreed our terms and privacy policy,Acordó nuestros Términos y Política de privacidad,يرجى الاتفاق على شروطنا وسياسة الخصوصية
same As Contact,Same as Contact Number,Igual que el número de contacto,نفس رقم الاتصال
select Mobile Method,Select Mobile Method,Seleccionar método móvil,حدد طريقة الهاتف المحمول
dummy Month,OCT,OCT,أكتوبر
contact Number,Contact Number,Número de contacto,رقم الاتصال
upload Document,Upload Document,Cargar documento,تحميل وثيقة
interval Fees Charges,Interval Fees & Charges,Tarifas y cargos de intervalo,رسوم الفاصل والرسوم
verified,Verified,Verificado,تم التحقق
user Name Or Email Address,Username Or Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني
forgot Password,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
Reset Your Forgotten Password,Reset Your Forgotten Password,Restablece tu contraseña olvidada,أعد تعيين كلمة المرور المنسية
normal forgot password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
male,Male,Masculino,ذكر
female,Female,Femenino,أنثى
enter The OTP Code Send To,Enter The OTP Code Sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسلة إلى
from Camera,From Camera,De la cámara,من الكاميرا
transfer Log,Transfer Log,Transferencia,سجل النقل
from Gallery,From Gallery,De la galería,من المعرض
otp Verification,OTP Verification,Verificación OTP,التحقق من OTP
email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
enter,Enter,Ingresar,يدخل
reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
congratulation,Congratulations!,¡Felicidades!,تهانينا!
opps,Opps!,¡Opps!,أوس!
